"Index","en-US","cs-CZ","da-DK","de-DE","en-GB","es-ES","es-MX","et-EE","fi-FI","fr-CA","fr-FR","hr-HR","hu-HU","it-IT","lt-LT","lv-LV","nb-NO","nl-NL","pl-PL","pt-BR","pt-PT","ro-RO","sk-SK","sl-SI","sr-Latn-RS","sv-SE","tr-TR"
"2354","Out - Teredo Data","Výstup – data Teredo","Ud - Teredo-data","Ausgehend - Teredo-Daten","Out - Teredo Data","","","Out - Teredo Data","Lähtevä – Teredo-tiedot","Sortie - Données Teredo","Sortie - Données Teredo","Out - Teredo Data","Kimenő - Teredo - adat","Uscita - Dati Teredo","Out - Teredo Data","Out - Teredo Data","Ut – Teredo-data","Uit - Teredo-gegevens","Ruch wychodzący — dane Teredo","Saída - Dados Teredo","Saída - Dados Teredo","Out - Teredo Data","Out - Teredo Data","Out - Teredo Data","Out - Teredo Data","Ut - Teredo-data","Giden - Teredo Verisi"
"2356","In - Teredo Data User Mode","Vstup – data Teredo v uživatelském režimu","Ind - Teredo-data i brugertilstand","Eingehend - Benutzermodus für Teredo-Daten","In - Teredo Data User Mode","","","In - Teredo Data User Mode","Saapuva – Teredo-tietojen käyttäjätila","Entrée - Mode utilisateur de données Teredo","Entrée - Mode utilisateur de données Teredo","In - Teredo Data User Mode","Teredo - bejövő adatok felhasználói módban","Ingresso - Modalità utente dati Teredo","In - Teredo Data User Mode","In - Teredo Data User Mode","Inn – Teredo-databrukermodus","In - Teredo-gegevens in gebruikersmodus","Ruch przychodzący — tryb użytkownika danych Teredo","Entrada - Modo de Usuário de Dados Teredo","Entrada - Modo de Utilizador de Dados Teredo","In - Teredo Data User Mode","In - Teredo Data User Mode","In - Teredo Data User Mode","In - Teredo Data User Mode","In - Teredo-dataanvändarläge","Gelen - Teredo Veri Kullanıcısı Modu"
"2358","In - Teredo Data Kernel Mode","Vstup – data Teredo v režimu jádra","Ind - Teredo-data i kernetilstand","Eingehend - Kernelmodus für Teredo-Daten","In - Teredo Data Kernel Mode","","","In - Teredo Data Kernel Mode","Saapuva – Teredo-tietojen ydintila","Entrée - Mode noyau de données Teredo","Entrée - Mode noyau de données Teredo","In - Teredo Data Kernel Mode","Teredo - bejövő adatok rendszermag módban","Ingresso - Modalità kernel dati Teredo","In - Teredo Data Kernel Mode","In - Teredo Data Kernel Mode","Inn – Teredo-datakjernemodus","In - Teredo-gegevens in kernelmodus","Ruch przychodzący — tryb jądra danych Teredo","Entrada - Modo Kernel de Dados Teredo","Entrada - Modo de Kernel de Dados Teredo","In - Teredo Data Kernel Mode","In - Teredo Data Kernel Mode","In - Teredo Data Kernel Mode","In - Teredo Data Kernel Mode","In - Teredo-datakernelläge","Gelen - Teredo Veri Çekirdeği Modu"
"236","LogicalDisk","Logický disk","Logisk disk","Logischer Datenträger","LogicalDisk","Disco lógico","Disco lógico","LogicalDisk","Looginen levy","Disque logique","Disque logique","LogicalDisk","Logikai lemez","Disco logico","LogicalDisk","LogicalDisk","Logisk disk","Logische schijf","Dysk logiczny","LogicalDisk","Disco lógico","LogicalDisk","LogicalDisk","LogicalDisk","LogicalDisk","Logisk disk","MantıksalDisk"
"2360","Out - Teredo Data User Mode","Data odeslaná službou Teredo v uživatelském režimu","Ud - Teredo-data i brugertilstand","Ausgehend - Benutzermodus für Teredo-Daten","Out - Teredo Data User Mode","","","Out - Teredo Data User Mode","Lähtevä - Teredo-tietojen käyttäjätila","Sortie - Mode utilisateur de données Teredo","Sortie - Mode utilisateur de données Teredo","Out - Teredo Data User Mode","Teredo - kimenő adatok felhasználói módban","Uscita - Modalità utente dati Teredo","Out - Teredo Data User Mode","Out - Teredo Data User Mode","Ut - Teredo-databrukermodus","Uit - Teredo-gegevens in gebruikersmodus","Ruch wychodzący  — tryb użytkownika danych Teredo","Saída - Modo de Usuário de Dados Teredo","Saída - Modo de Utilizador de Dados Teredo","Out - Teredo Data User Mode","Out - Teredo Data User Mode","Out - Teredo Data User Mode","Out - Teredo Data User Mode","Ut - Teredo-dataanvändarläge","Giden - Teredo Veri Kullanıcısı Modu"
"2362","Out - Teredo Data Kernel Mode","Data odeslaná službou Teredo v režimu jádra","Ud - Teredo-data i kernetilstand","Ausgehend - Kernelmodus für Teredo-Daten","Out - Teredo Data Kernel Mode","","","Out - Teredo Data Kernel Mode","Lähtevä - Teredo-tietojen ydintila","Sortie - Mode noyau de données Teredo","Sortie - Mode noyau de données Teredo","Out - Teredo Data Kernel Mode","Teredo - kimenő adatok rendszermag módban","Uscita - Modalità kernel dati Teredo","Out - Teredo Data Kernel Mode","Out - Teredo Data Kernel Mode","Ut - Teredo-datakjernemodus","Uit - Teredo-gegevens in kernelmodus","Ruch wychodzący  — tryb jądra danych Teredo","Saída - Modo Kernel de Dados Teredo","Saída - Modo de Kernel de Dados Teredo","Out - Teredo Data Kernel Mode","Out - Teredo Data Kernel Mode","Out - Teredo Data Kernel Mode","Out - Teredo Data Kernel Mode","Ut - Teredo-datakernelläge","Giden - Teredo Veri Çekirdeği Modu"
"2364","Teredo Server","Server Teredo","Teredo-server","Teredo-Server","Teredo Server","","","Teredo Server","Teredo-palvelin","Serveur Teredo","Serveur Teredo","Teredo Server","Teredo-kiszolgáló","Server Teredo","Teredo Server","Teredo Server","Teredo-server","Teredo-server","Serwer Teredo","Servidor Teredo","Servidor Teredo","Teredo Server","Teredo Server","Teredo Server","Teredo Server","Teredo-server","Teredo Sunucusu"
"2366","In - Teredo Server Total Packets: Success + Error","Vstup - celkový počet paketů serveru Teredo: úspěšné + chybné","Ind - Samlet antal pakker for Teredo-serveren: Vellykkede + mislykkede","Eingehend - Gesamtanzahl der Teredo-Serverpakete: Erfolg + Fehler","In - Teredo Server Total Packets: Success + Error","","","In - Teredo Server Total Packets: Success + Error","Saapuva - Teredo-palvelimen paketit yhteensä: onnistumiset ja virheet","Entrée - Total des paquets du serveur Teredo : réussite + erreur","Entrée - Total des paquets du serveur Teredo : réussite + erreur","In - Teredo Server Total Packets: Success + Error","Bejövő - Teredo-kiszolgáló összes csomagja: sikeres és sikertelen","Ingresso - Totale pacchetti server Teredo: validi + non validi","In - Teredo Server Total Packets: Success + Error","In - Teredo Server Total Packets: Success + Error","Inn - Teredo-server, totalt antall pakker: vellykket + feil","In - Totaal aantal pakketten Teredo-server: geslaagd en mislukt","Ruch przychodzący — całkowita liczba pakietów serwera Teredo: prawidłowe + błędne","Entrada - Total de Pacotes do Servidor Teredo: Êxito + Erro","Entrada - Total de Pacotes do Servidor Teredo: Êxito + Erro","In - Teredo Server Total Packets: Success + Error","In - Teredo Server Total Packets: Success + Error","In - Teredo Server Total Packets: Success + Error","In - Teredo Server Total Packets: Success + Error","In - totalt antal Teredo-serverpaket: fel + lyckade","Gelen - Teredo Sunucusu Toplam Paket Sayısı: Başarılı + Hatalı"
"2368","In - Teredo Server Success Packets: Total","Vstup - úspěšné pakety serveru Teredo: Celkem","Ind - Vellykkede pakker på Teredo-serveren: Samlet","Eingehend - Erfolgreiche Teredo-Serverpakete: Gesamt","In - Teredo Server Success Packets: Total","","","In - Teredo Server Success Packets: Total","Saapuva - Teredo-palvelimen onnistumispaketit: yhteensä","Entrée - Paquets valides du serveur Teredo : total","Entrée - Paquets valides du serveur Teredo : total","In - Teredo Server Success Packets: Total","Bejövő - Teredo-kiszolgálón sikeresen fogadott csomagok: összes","Ingresso - Pacchetti validi server Teredo: totale","In - Teredo Server Success Packets: Total","In - Teredo Server Success Packets: Total","Inn - Teredo-server, vellykkede pakker: totalt","In - Geslaagde pakketten Teredo-server: totaal","Ruch przychodzący — prawidłowe pakiety serwera Teredo: łącznie","Entrada - Pacotes de Êxito do Servidor Teredo: Total","Entrada - Pacotes do Servidor Teredo com Êxito: Total","In - Teredo Server Success Packets: Total","In - Teredo Server Success Packets: Total","In - Teredo Server Success Packets: Total","In - Teredo Server Success Packets: Total","In - lyckade Teredo-serverpaket: totalt","Gelen - Teredo Sunucusu Başarılı Paket Sayısı: Toplam"
"2370","In - Teredo Server Success Packets: Bubbles","Vstup – úspěšné pakety serveru Teredo: bubliny","Ind - Vellykkede pakker på Teredo-serveren: Bobler","Eingehend - Erfolgreiche Teredo-Serverpakete: Bubbles","In - Teredo Server Success Packets: Bubbles","","","In - Teredo Server Success Packets: Bubbles","Saapuva – Teredo-palvelimen onnistumispaketit: kuplat","Entrée - Paquets valides du serveur Teredo : bulles","Entrée - Paquets valides du serveur Teredo : bulles","In - Teredo Server Success Packets: Bubbles","Bejövő - Teredo-kiszolgálón sikeresen fogadott csomagok: Bubble","Ingresso - Pacchetti validi server Teredo: bubble","In - Teredo Server Success Packets: Bubbles","In - Teredo Server Success Packets: Bubbles","Inn – Teredo-server, vellykkede pakker: bobler","In - Geslaagde pakketten Teredo-server: bubbles","Ruch przychodzący — prawidłowe pakiety serwera Teredo: typu „bubble”","Entrada - Pacotes de Êxito do Servidor Teredo: Bolhas","Entrada - Pacotes de Servidor Teredo com Êxito: Bubbles","In - Teredo Server Success Packets: Bubbles","In - Teredo Server Success Packets: Bubbles","In - Teredo Server Success Packets: Bubbles","In - Teredo Server Success Packets: Bubbles","In - lyckade Teredo-serverpaket: bubblor","Gelen - Teredo Sunucusu Başarılı Paket Sayısı: Balonlar"
"2372","In - Teredo Server Success Packets: Echo","Vstup – úspěšné pakety serveru Teredo: odezva","Ind - Vellykkede pakker på Teredo-serveren: Ekko","Eingehend - Erfolgreiche Teredo-Serverpakete: Echo","In - Teredo Server Success Packets: Echo","","","In - Teredo Server Success Packets: Echo","Saapuva – Teredo-palvelimen onnistumispaketit: kaiutus","Entrée - Paquets valides du serveur Teredo : écho","Entrée - Paquets valides du serveur Teredo : écho","In - Teredo Server Success Packets: Echo","Bejövő - Teredo-kiszolgálón sikeresen fogadott csomagok: Echo csomagok","Ingresso - Pacchetti validi server Teredo: echo","In - Teredo Server Success Packets: Echo","In - Teredo Server Success Packets: Echo","Inn – Teredo-server, vellykkede pakker: ekko","In - Geslaagde pakketten Teredo-server: echo","Ruch przychodzący — prawidłowe pakiety serwera Teredo: echo","Entrada - Pacotes de Êxito do Servidor Teredo: Eco","Entrada - Pacotes de Servidor Teredo com Êxito: Eco","In - Teredo Server Success Packets: Echo","In - Teredo Server Success Packets: Echo","In - Teredo Server Success Packets: Echo","In - Teredo Server Success Packets: Echo","In - lyckade Teredo-serverpaket: Echo","Gelen - Teredo Sunucusu Başarılı Paket Sayısı: Yankı"
"2374","In - Teredo Server Success Packets: RS-Primary","Vstup – úspěšné pakety serveru Teredo: oslovení směrovače – primární","Ind - Vellykkede pakker på Teredo-serveren: Primær routerinvitation","Eingehend - Erfolgreiche Teredo-Serverpakete: Routeranfragen primär","In - Teredo Server Success Packets: RS-Primary","","","In - Teredo Server Success Packets: RS-Primary","Saapuva – Teredo-palvelimen onnistumispaketit: ensisijainen RS","Entrée - Paquets valides du serveur Teredo : SR-principal","Entrée - Paquets valides du serveur Teredo : SR-principal","In - Teredo Server Success Packets: RS-Primary","Bejövő - Teredo-kiszolgálón sikeresen fogadott csomagok: Útválasztó-megszólítás-Elsődleges","Ingresso - Pacchetti validi server Teredo: richieste router server primario","In - Teredo Server Success Packets: RS-Primary","In - Teredo Server Success Packets: RS-Primary","Inn – Teredo-server, vellykkede pakker: RS-primær","In - Geslaagde pakketten Teredo-server: routeraanvragen - primair","Ruch przychodzący — prawidłowe pakiety serwera Teredo: RS-Primary","Entrada - Pacotes de Êxito do Servidor Teredo: SR-Primário","Entrada - Pacotes de Servidor Teredo com Êxito: RS-Primary","In - Teredo Server Success Packets: RS-Primary","In - Teredo Server Success Packets: RS-Primary","In - Teredo Server Success Packets: RS-Primary","In - Teredo Server Success Packets: RS-Primary","In - lyckade Teredo-serverpaket: RS-primär","Gelen - Teredo Sunucusu Başarılı Paket Sayısı: RS-Birincil"
"2376","In - Teredo Server Success Packets: RS-Secondary","Vstup – úspěšné pakety serveru Teredo: oslovení směrovače – sekundární","Ind - Vellykkede pakker på Teredo-serveren: Sekundær routerinvitation","Eingehend - Erfolgreiche Teredo-Serverpakete: Routeranfragen sekundär","In - Teredo Server Success Packets: RS-Secondary","","","In - Teredo Server Success Packets: RS-Secondary","Saapuva – Teredo-palvelimen onnistumispaketit: toissijainen RS","Entrée - Paquets valides du serveur Teredo : SR-secondaire","Entrée - Paquets valides du serveur Teredo : SR-secondaire","In - Teredo Server Success Packets: RS-Secondary","Bejövő - Teredo-kiszolgálón sikeresen fogadott csomagok: Útválasztó-megszólítás-Másodlagos","Ingresso - Pacchetti validi server Teredo: richieste router server secondario","In - Teredo Server Success Packets: RS-Secondary","In - Teredo Server Success Packets: RS-Secondary","Inn – Teredo-server, vellykkede pakker: RS-sekundær","In - Geslaagde pakketten Teredo-server: routeraanvragen - secundair","Ruch przychodzący — prawidłowe pakiety serwera Teredo: RS-Secondary","Entrada - Pacotes de Êxito do Servidor Teredo: SR-Secundário","Entrada - Pacotes de Servidor Teredo com Êxito: RS-Secondary","In - Teredo Server Success Packets: RS-Secondary","In - Teredo Server Success Packets: RS-Secondary","In - Teredo Server Success Packets: RS-Secondary","In - Teredo Server Success Packets: RS-Secondary","In - lyckade Teredo-serverpaket: RS-sekundär","Gelen - Teredo Sunucusu Başarılı Paket Sayısı: RS-İkincil"
"2378","In - Teredo Server Error Packets: Total","Vstup – chybové pakety serveru Teredo: celkem","Ind - Mislykkede pakker på Teredo-serveren: Samlet","Eingehend - Fehlerhafte Teredo-Serverpakete: Gesamt","In - Teredo Server Error Packets: Total","","","In - Teredo Server Error Packets: Total","Saapuva – Teredo-palvelimen virhepaketit: yhteensä","Entrée - Paquets non valides du serveur Teredo : total","Entrée - Paquets non valides du serveur Teredo : total","In - Teredo Server Error Packets: Total","Bejövő - Teredo-kiszolgálón sikertelenül fogadott csomagok: összes","Ingresso - Pacchetti non validi server Teredo: totale","In - Teredo Server Error Packets: Total","In - Teredo Server Error Packets: Total","Inn – Teredo-server, feilpakker: totalt","In - Ongeldige pakketten Teredo-server: totaal","Ruch przychodzący — błędne pakiety serwera Teredo: łącznie","Entrada - Pacotes de Erro do Servidor Teredo: Total","Entrada - Pacotes de Erros de Servidor Teredo: Total","In - Teredo Server Error Packets: Total","In - Teredo Server Error Packets: Total","In - Teredo Server Error Packets: Total","In - Teredo Server Error Packets: Total","In - felaktiga Teredo-serverpaket: totalt","Gelen - Teredo Sunucusu Hatalı Paket Sayısı: Toplam"
"238","Processor","Procesor","Processor","Prozessor","Processor","Procesador","Procesador","Processor","Suoritin","Processeur","Processeur","Processor","Processzor","Processore","Processor","Processor","Prosessor","Processor","Procesor","Processador","Processador","Processor","Processor","Processor","Processor","Processor","İşlemci"
"2380","In - Teredo Server Error Packets: Header Error","Vstup – chybové pakety serveru Teredo: chyba hlavičky","Ind - Mislykkede pakker på Teredo-serveren: Headerfejl","Eingehend - Fehlerhafte Teredo-Serverpakete: Headerfehler","In - Teredo Server Error Packets: Header Error","","","In - Teredo Server Error Packets: Header Error","Saapuva – Teredo-palvelimen virhepaketit: otsikkovirhe","Entrée - Paquets non valides du serveur Teredo : erreur d’en-tête","Entrée - Paquets non valides du serveur Teredo : erreur d’en-tête","In - Teredo Server Error Packets: Header Error","Bejövő - Teredo-kiszolgálón sikertelenül fogadott csomagok: Fejléchiba","Ingresso - Pacchetti non validi server Teredo: errore intestazione","In - Teredo Server Error Packets: Header Error","In - Teredo Server Error Packets: Header Error","Inn – Teredo-server, feilpakker: hodefeil","In - Ongeldige pakketten Teredo-server: headerfout","Ruch przychodzący — błędne pakiety serwera Teredo: błąd nagłówka","Entrada - Pacotes de Erro do Servidor Teredo: Erro de Cabeçalho","Entrada - Pacotes de Erros de Servidor Teredo: Erro de Cabeçalho","In - Teredo Server Error Packets: Header Error","In - Teredo Server Error Packets: Header Error","In - Teredo Server Error Packets: Header Error","In - Teredo Server Error Packets: Header Error","In - felaktiga Teredo-serverpaket: rubrikfel","Gelen - Teredo Sunucusu Hatalı Paket Sayısı: Üstbilgi Hatası"
"2382","In - Teredo Server Error Packets: Source Error","Vstup – chybové pakety serveru Teredo: chyba zdroje","Ind - Mislykkede pakker på Teredo-serveren: Kildefejl","Eingehend - Fehlerhafte Teredo-Serverpakete: Quellfehler","In - Teredo Server Error Packets: Source Error","","","In - Teredo Server Error Packets: Source Error","Saapuva – Teredo-palvelimen virhepaketit: lähdevirhe","Entrée - Paquets non valides du serveur Teredo : erreur de source","Entrée - Paquets non valides du serveur Teredo : erreur de source","In - Teredo Server Error Packets: Source Error","Bejövő - Teredo-kiszolgálón sikertelenül fogadott csomagok: Forráshiba","Ingresso - Pacchetti non validi server Teredo: errore origine","In - Teredo Server Error Packets: Source Error","In - Teredo Server Error Packets: Source Error","Inn – Teredo-server, feilpakker: kildefeil","In - Ongeldige pakketten Teredo-server: bronfout","Ruch przychodzący — błędne pakiety serwera Teredo: błąd miejsca źródłowego","Entrada - Pacotes de Erro do Servidor Teredo: Erro de Origem","Entrada - Pacotes de Erros de Servidor Teredo: Erro de Origem","In - Teredo Server Error Packets: Source Error","In - Teredo Server Error Packets: Source Error","In - Teredo Server Error Packets: Source Error","In - Teredo Server Error Packets: Source Error","In - felaktiga Teredo-serverpaket: källfel","Gelen - Teredo Sunucusu Hatalı Paket Sayısı: Kaynak Hatası"
"2384","In - Teredo Server Error Packets: Destination Error","Vstup – chybové pakety serveru Teredo: chyba cíle","Ind - Mislykkede pakker på Teredo-serveren: Destinationsfejl","Eingehend - Fehlerhafte Teredo-Serverpakete: Zielfehler","In - Teredo Server Error Packets: Destination Error","","","In - Teredo Server Error Packets: Destination Error","Saapuva – Teredo-palvelimen virhepaketit: kohdevirhe","Entrée - Paquets non valides du serveur Teredo : erreur de destination","Entrée - Paquets non valides du serveur Teredo : erreur de destination","In - Teredo Server Error Packets: Destination Error","Kimenő - Teredo-kiszolgálón sikertelenül fogadott csomagok: Célhiba","Ingresso - Pacchetti non validi server Teredo: errore destinazione","In - Teredo Server Error Packets: Destination Error","In - Teredo Server Error Packets: Destination Error","Inn – Feilpakker for Teredo-server: målfeil","In - Ongeldige pakketten Teredo-server: bestemmingsfout","Ruch przychodzący — błędne pakiety serwera Teredo: błąd miejsca docelowego","Entrada - Pacotes de Erro do Servidor Teredo: Erro de Destino","Entrada - Pacotes de Erros de Servidor Teredo: Erro de Destino","In - Teredo Server Error Packets: Destination Error","In - Teredo Server Error Packets: Destination Error","In - Teredo Server Error Packets: Destination Error","In - Teredo Server Error Packets: Destination Error","In - felaktiga Teredo-serverpaket: målfel","Gelen - Teredo Sunucusu Hatalı Paket Sayısı: Hedef Hatası"
"2386","In - Teredo Server Error Packets: Authentication Error","Vstup – chybové pakety serveru Teredo: chyba ověření","Ind - Mislykkede pakker på Teredo-serveren: Godkendelsesfejl","Eingehend - Fehlerhafte Teredo-Serverpakete: Authentifizierungsfehler","In - Teredo Server Error Packets: Authentication Error","","","In - Teredo Server Error Packets: Authentication Error","Saapuva – Teredo-palvelimen virhepaketit: todennusvirhe","Entrée - Paquets non valides du serveur Teredo : erreur d’authentification","Entrée - Paquets non valides du serveur Teredo : erreur d’authentification","In - Teredo Server Error Packets: Authentication Error","Kimenő - Teredo-kiszolgálón sikertelenül fogadott csomagok: Hitelesítési hiba","Ingresso - Pacchetti non validi server Teredo: errore autenticazione","In - Teredo Server Error Packets: Authentication Error","In - Teredo Server Error Packets: Authentication Error","Inn – Teredo-server, feilpakker: godkjenningsfeil","In - Ongeldige pakketten Teredo-server: authenticatiefout","Ruch przychodzący — błędne pakiety serwera Teredo: błąd uwierzytelniania","Entrada - Pacotes de Erro do Servidor Teredo: Erro de Autenticação","Entrada - Pacotes de Erros de Servidor Teredo: Erro de Autenticação","In - Teredo Server Error Packets: Authentication Error","In - Teredo Server Error Packets: Authentication Error","In - Teredo Server Error Packets: Authentication Error","In - Teredo Server Error Packets: Authentication Error","In - felaktiga Teredo-serverpaket: autentiseringsfel","Gelen - Teredo Sunucusu Hatalı Paket Sayısı: Kimlik Doğrulama Hatası"
"2388","Out - Teredo Server: RA-Primary","Výstup – server Teredo: inzerování směrovače – primární","Ud - Teredo-server: Primær routerannoncering","Ausgehend - Teredo-Server: Routerankündigung primär","Out - Teredo Server: RA-Primary","","","Out - Teredo Server: RA-Primary","Lähtevä – Teredo-palvelin: ensisijainen RS","Sortie - Serveur Teredo : AR-principal","Sortie - Serveur Teredo : AR-principal","Out - Teredo Server: RA-Primary","Kimenő - Teredo-kiszolgáló: Útválasztó-hirdetmény-Elsődleges","Uscita - Server Teredo: annunci router server primario","Out - Teredo Server: RA-Primary","Out - Teredo Server: RA-Primary","Ut – Teredo-server: RA-primær","Uit - Teredo-server: router-advertisements - primair","Ruch wychodzący — serwer Teredo: RA-Primary","Saída - Servidor Teredo: AR-Primário","Saída - Servidor Teredo: RA-Primary","Out - Teredo Server: RA-Primary","Out - Teredo Server: RA-Primary","Out - Teredo Server: RA-Primary","Out - Teredo Server: RA-Primary","Ut - Teredo-server: RA-primär","Giden - Teredo Sunucusu: RA-Birincil"
"2390","Out - Teredo Server: RA-Secondary ","Výstup - server Teredo: inzerování směrovače - sekundární","Ud - Teredo-server: Sekundær routerannoncering ","Ausgehend - Teredo-Server: Routerankündigung sekundär ","Out - Teredo Server: RA-Secondary ","","","Out - Teredo Server: RA-Secondary ","Lähtevä - Teredo-palvelin: toissijainen RS ","Sortie - Serveur Teredo : AR-secondaire ","Sortie - Serveur Teredo : AR-secondaire ","Out - Teredo Server: RA-Secondary ","Kimenő - Teredo-kiszolgáló: Útválasztó-hirdetmény-Másodlagos ","Uscita - Server Teredo: annunci router server secondario ","Out - Teredo Server: RA-Secondary ","Out - Teredo Server: RA-Secondary ","Ut - Teredo-server: RA-sekundær ","Uit - Teredo-server: router-advertisements - secundair ","Ruch wychodzący — serwer Teredo: RA-Secondary ","Saída - Servidor Teredo: AR-Secundário ","Saída - Servidor Teredo: RA-Secondary ","Out - Teredo Server: RA-Secondary ","Out - Teredo Server: RA-Secondary ","Out - Teredo Server: RA-Secondary ","Out - Teredo Server: RA-Secondary ","Ut - Teredo-server: RA-sekundär ","Giden - Teredo Sunucusu: RA-İkincil "
"2392","In - Teredo Server Total Packets: Success + Error / sec","Vstup - celkový počet paketů serveru Teredo: úspěšné + chybné / s","Ind - Samlet antal pakker for Teredo-serveren: Vellykkede + mislykkede pr. sekund","Eingehend - Gesamtanzahl der Teredo-Serverpakete: Erfolg + Fehler/Sekunde","In - Teredo Server Total Packets: Success + Error / sec","","","In - Teredo Server Total Packets: Success + Error / sec","Saapuva - Teredo-palvelimen paketit yhteensä: onnistumiset ja virheet sekunnissa","Entrée - Total des paquets du serveur Teredo : réussite + erreur /s","Entrée - Total des paquets du serveur Teredo : réussite + erreur /s","In - Teredo Server Total Packets: Success + Error / sec","Bejövő - Teredo-kiszolgáló összes csomagja: sikeres és sikertelen (csomag/s)","Ingresso - Totale pacchetti server Teredo: validi + non validi / sec","In - Teredo Server Total Packets: Success + Error / sec","In - Teredo Server Total Packets: Success + Error / sec","Inn - Teredo-server, totalt antall pakker: vellykket + feil / sek","In - Totaal aantal pakketten Teredo-server: geslaagd en mislukt / sec","Ruch przychodzący — całkowita liczba pakietów serwera Teredo: prawidłowe + błędne/sekundę","Entrada - Total de Pacotes do Servidor Teredo: Êxito + Erro / s","Entrada - Total de Pacotes do Servidor Teredo: Êxito + Erro / seg","In - Teredo Server Total Packets: Success + Error / sec","In - Teredo Server Total Packets: Success + Error / sec","In - Teredo Server Total Packets: Success + Error / sec","In - Teredo Server Total Packets: Success + Error / sec","In - totalt antal Teredo-serverpaket: lyckade + fel/sek","Gelen - Teredo Sunucusu Toplam Paket Sayısı: Başarılı + Hatalı/sn"
"2394","Teredo Relay","Přenos Teredo","Teredo-relæ","Teredorelay","Teredo Relay","","","Teredo Relay","Teredo-välitys","Relais Teredo","Relais Teredo","Teredo Relay","Teredo-továbbító","Relay Teredo","Teredo Relay","Teredo Relay","Teredo-relé","Teredo-relay","Przekaźnik Teredo","Retransmissão Teredo","Reencaminhamento Teredo","Teredo Relay","Teredo Relay","Teredo Relay","Teredo Relay","Teredo-relä","Teredo Geçiş Yönlendiricisi"
"2396","In - Teredo Relay Total Packets: Success + Error","Vstup – celkový počet paketů přenosu Teredo: úspěšné + chybné","Ind - Samlet antal pakker for Teredo-relæet: Vellykkede + mislykkede","Eingehend - Gesamtanzahl der Teredorelaypakete: Erfolg + Fehler","In - Teredo Relay Total Packets: Success + Error","","","In - Teredo Relay Total Packets: Success + Error","Saapuva - Teredo-välityksen paketit yhteensä: onnistumiset ja virheet","Entrée - Total des paquets du relais Teredo : réussite + erreur","Entrée - Total des paquets du relais Teredo : réussite + erreur","In - Teredo Relay Total Packets: Success + Error","Bejövő - Teredo-továbbító összes csomagja: sikeres és sikertelen","Ingresso - Totale pacchetti relay Teredo: validi + non validi","In - Teredo Relay Total Packets: Success + Error","In - Teredo Relay Total Packets: Success + Error","Inn - Teredo-relé, totalt antall pakker: vellykket + feil","In - Totaal aantal pakketten Teredo-relay: geslaagd en mislukt","Ruch przychodzący — całkowita liczba pakietów przekaźnika Teredo: prawidłowe + błędne","Entrada - Total de Pacotes da Retransmissão Teredo: Êxito + Erro","Entrada - Total de Pacotes de Reencaminhamento Teredo: Êxito + Erro","In - Teredo Relay Total Packets: Success + Error","In - Teredo Relay Total Packets: Success + Error","In - Teredo Relay Total Packets: Success + Error","In - Teredo Relay Total Packets: Success + Error","In - totalt antal Teredo-reläpaket: lyckade + fel","Gelen - Teredo Geçiş Yönlendiricisi Toplam Paket Sayısı: Başarılı + Hatalı"
"2398","In - Teredo Relay Success Packets: Total","Vstup – úspěšné pakety přenosu Teredo: celkem","Ind - Vellykkede pakker på Teredo-relæet: Samlet","Eingehend - Erfolgreiche Teredorelaypakete: Gesamt","In - Teredo Relay Success Packets: Total","","","In - Teredo Relay Success Packets: Total","Saapuva - Teredo-välityksen onnistumispaketit: yhteensä","Entrée - Paquets valides du relais Teredo : total","Entrée - Paquets valides du relais Teredo : total","In - Teredo Relay Success Packets: Total","Bejövő - Teredo-továbbítón sikeresen fogadott csomagok: összes","Ingresso - Pacchetti validi relay Teredo: totale","In - Teredo Relay Success Packets: Total","In - Teredo Relay Success Packets: Total","Inn - Teredo-relé, vellykkede pakker: totalt","In - Geslaagde pakketten Teredo-relay: totaal","Ruch przychodzący — prawidłowe pakiety przekaźnika Teredo: łącznie","Entrada - Pacotes de Êxito da Retransmissão Teredo: Total","Entrada - Pacotes de Reencaminhamento Teredo com Êxito: Total","In - Teredo Relay Success Packets: Total","In - Teredo Relay Success Packets: Total","In - Teredo Relay Success Packets: Total","In - Teredo Relay Success Packets: Total","In - lyckade Teredo-reläpaket: totalt","Gelen - Teredo Geçiş Yönlendiricisi Başarılı Paket Sayısı: Toplam"
"24","Available Bytes","Bajty k dispozici","Byte til rådighed","Verfügbare Bytes","Available Bytes","Bytes disponibles","Bytes disponibles","Available Bytes","Käytettäviä tavuja","Octets disponibles","Octets disponibles","Available Bytes","Rendelkezésre álló memória (bájt)","Byte disponibili","Available Bytes","Available Bytes","Tilgjengelige byte","Beschikbare bytes","Dostępne bajty","Bytes disponíveis","Bytes disponíveis","Available Bytes","Available Bytes","Available Bytes","Available Bytes","Tillgängliga byte","Kullanılabilir Bayt Sayısı"
